area,bedrooms,bathrooms,location_rating,age,garage,pool,zone,price
1200,2,1,6,10,0,0,suburban,64000
1500,3,2,7,8,1,0,suburban,71000
1800,3,2,8,5,1,0,urban,92000
2000,4,3,9,3,1,0,urban,118000
850,2,1,5,15,0,0,rural,42000
900,2,1,6,12,0,0,rural,47000
1600,3,2,7,7,1,0,suburban,76000
2200,4,3,9,4,1,1,urban,135000
1400,3,2,6,9,0,0,suburban,68000
1700,3,2,8,6,1,0,urban,88000
2500,5,4,10,2,2,1,urban,165000
1100,2,1,5,11,0,0,rural,50000
1300,2,2,6,10,0,0,suburban,59000
1900,4,3,8,5,1,0,urban,102000
2100,4,3,9,4,2,0,urban,120000
3000,5,4,10,1,2,1,luxury,240000
800,1,1,4,20,0,0,rural,36000
2800,5,4,9,3,2,1,luxury,210000
1450,3,2,7,8,1,0,suburban,70000
2300,4,3,9,2,2,0,urban,138000
1650,3,2,8,5,1,0,urban,91000
900,2,1,5,18,0,0,rural,41000
3500,6,5,10,1,3,1,luxury,310000
2600,5,4,9,4,2,1,luxury,205000
1250,2,2,6,9,0,0,suburban,61000
1750,3,2,8,6,1,0,urban,87000
2050,4,3,9,3,1,1,urban,125000
700,1,1,3,25,0,0,rural,31000
4000,6,5,10,2,3,1,luxury,360000
1350,3,2,7,7,0,0,suburban,67000
1550,3,2,7,8,1,0,suburban,74000
2400,4,3,9,3,2,1,urban,145000
1000,2,1,5,14,0,0,rural,46000
2900,5,4,10,2,2,1,luxury,230000
1850,4,2,8,5,1,0,urban,98000
1150,2,1,6,11,0,0,suburban,55000
2700,5,4,9,4,2,1,luxury,215000
1480,3,2,7,8,1,0,suburban,69000
2150,4,3,9,3,2,0,urban,122000
3200,5,5,10,1,3,1,luxury,270000
960,2,1,5,16,0,0,rural,44000
1680,3,2,8,6,1,0,urban,89000
2350,4,3,9,2,2,1,urban,140000
1280,2,2,6,10,0,0,suburban,60000
3700,6,5,10,2,3,1,luxury,330000
1580,3,2,7,7,1,0,suburban,75000
2250,4,3,9,3,2,0,urban,132000
1020,2,1,5,13,0,0,rural,48000
2850,5,4,10,2,2,1,luxury,225000
1420,3,2,7,8,0,0,suburban,66000
1100,2,1,5,12,0,0,rural,49000
1620,3,2,7,9,1,0,suburban,73000
2020,4,3,8,4,1,0,urban,112000
3100,5,4,10,2,2,1,luxury,255000
780,1,1,4,22,0,0,rural,34000
2450,4,3,9,3,2,0,urban,142000
1380,3,2,7,7,0,0,suburban,65000
1720,3,2,8,5,1,0,urban,90000
2550,5,4,9,4,2,1,luxury,200000
1050,2,1,5,14,0,0,rural,47500
1470,3,2,7,8,1,0,suburban,71500
2180,4,3,9,3,1,0,urban,126000
3300,5,5,10,1,3,1,luxury,285000
830,1,1,4,19,0,0,rural,37000
2620,5,4,9,4,2,1,luxury,208000
1320,2,2,6,9,0,0,suburban,62000
1780,3,2,8,6,1,0,urban,86000
2080,4,3,9,3,2,0,urban,119000
3800,6,5,10,2,3,1,luxury,345000
920,2,1,5,17,0,0,rural,43000
1540,3,2,7,8,1,0,suburban,72000
2280,4,3,9,2,2,1,urban,136000
1220,2,2,6,10,0,0,suburban,58000
2960,5,4,10,2,2,1,luxury,235000
1890,4,2,8,5,1,0,urban,100000
1180,2,1,6,11,0,0,suburban,56000
2760,5,4,9,4,2,1,luxury,218000
1510,3,2,7,8,1,0,suburban,70500
2200,4,3,9,3,2,0,urban,128000
3250,5,5,10,1,3,1,luxury,275000
980,2,1,5,15,0,0,rural,45000
1700,3,2,8,6,1,0,urban,88500
2400,4,3,9,2,2,1,urban,143000
1300,2,2,6,10,0,0,suburban,60500
2800,5,4,10,2,2,1,luxury,226000
1440,3,2,7,8,0,0,suburban,67500
1560,3,2,7,7,1,0,suburban,75500
2260,4,3,9,3,2,0,urban,133000
1040,2,1,5,13,0,0,rural,48500
2880,5,4,10,2,2,1,luxury,228000
1430,3,2,7,8,0,0,suburban,66500
4200,6,5,10,1,3,1,luxury,390000
2120,4,3,9,4,2,0,urban,121000
1640,3,2,8,5,1,0,urban,93000
870,2,1,4,21,0,0,rural,38000
2480,4,3,9,3,2,1,urban,147000
3450,6,5,10,1,3,1,luxury,315000
1160,2,1,6,11,0,0,suburban,54000
2020,4,3,9,3,1,0,urban,115000
1490,3,2,7,8,1,0,suburban,70000
750,1,1,3,26,0,0,rural,30000
2750,5,4,9,3,2,1,luxury,212000
1350,3,2,7,7,0,0,suburban,64500
1820,4,2,8,5,1,0,urban,96000
2580,5,4,9,4,2,1,luxury,202000
1080,2,1,5,13,0,0,rural,49500
1460,3,2,7,8,1,0,suburban,69500
