area,bedrooms,bathrooms,location_rating,age,garage,pool,zone,price
1221,2,1,6,5,2,0,rural,22927
2002,4,3,7,9,3,0,urban,78125
3129,6,5,10,2,3,1,luxury,211793
2535,5,4,10,4,0,1,luxury,202999
1836,3,2,10,14,3,0,urban,97710
2521,5,4,8,0,0,0,urban,102177
4338,8,7,10,19,1,1,luxury,350326
4279,8,7,9,4,2,0,luxury,290806
1482,2,1,8,20,0,0,suburban,51843
2684,5,4,8,22,3,1,luxury,163689
1752,3,2,8,24,2,0,urban,71292
2886,5,4,10,5,0,1,luxury,236689
1428,2,1,4,25,0,0,rural,17738
1389,2,1,6,25,0,0,rural,27343
1665,3,2,5,1,1,0,suburban,32533
2356,4,3,9,24,1,0,urban,127600
1147,2,1,5,18,0,0,rural,17798
914,1,1,6,4,2,0,rural,17557
4088,8,7,8,20,2,0,luxury,225982
3374,6,5,10,8,0,0,luxury,227841
1857,3,2,6,22,1,0,suburban,41460
806,1,1,3,5,2,0,rural,6774
1475,2,1,4,22,3,0,rural,17197
708,1,1,4,9,2,0,rural,8755
1033,2,1,7,3,3,0,suburban,28199
1385,2,1,7,18,2,0,suburban,39953
3237,6,5,9,7,2,0,luxury,227967
1079,2,1,7,13,1,0,suburban,27482
1194,2,1,5,25,3,0,suburban,25026
1044,2,1,5,0,0,0,rural,16205
1219,2,1,6,21,0,0,suburban,27777
1666,3,2,6,22,2,0,suburban,39520
2972,5,4,9,22,2,1,luxury,184245
760,1,1,4,0,3,0,rural,9615
1721,3,2,9,20,1,0,urban,85692
2728,5,4,8,21,0,0,luxury,171080
1136,2,1,4,12,0,0,rural,14866
4366,8,7,9,25,0,0,luxury,267319
2744,5,4,8,17,1,0,urban,113445
1327,2,1,7,21,0,0,suburban,40524
1307,2,1,6,22,2,0,suburban,33081
4148,8,7,8,12,2,1,luxury,259901
2500,5,4,10,7,0,0,urban,147574
2725,5,4,9,25,2,0,luxury,199503
1794,3,2,7,13,2,0,urban,75042
1780,3,2,6,7,3,0,suburban,43701
890,1,1,6,13,0,0,rural,17094
929,1,1,5,0,0,0,rural,12646
1259,2,1,7,15,2,0,suburban,33144
2047,4,3,10,19,3,0,urban,121096
1192,2,1,5,4,2,0,suburban,23579
3388,6,5,9,1,2,1,luxury,232832
2998,5,4,10,10,0,0,urban,154915
2428,4,3,7,22,3,0,urban,102148
1373,2,1,4,22,3,0,rural,15546
954,1,1,4,25,3,0,rural,11140
1950,3,2,5,16,2,0,suburban,38168
2446,4,3,9,19,2,0,urban,113349
1259,2,1,6,1,3,0,suburban,27413
1430,2,1,5,23,0,0,suburban,30820
1060,2,1,5,8,3,0,rural,17285
2764,5,4,8,9,1,0,urban,124038
4265,8,7,9,25,3,0,luxury,275161
1099,2,1,5,22,1,0,suburban,22933
